id,university_name
198,Maharaja Krishnakumarsinji Bhavnagar University
199,Maharaja Sayajirao University of Baroda
200,Marwadi University
201,Monark University
202,National Rail and Transportation Institute (NRTI)
203,Navsari Agricultural University
204,Nirma University
205,Navrachana University
206,Noble University
207,Pandit Deendayal Energy University (Formerly Pandit Deendayal Petroleum University)
208,Parul University
209,Plastindia International University
210,P.P. Savani University
211,R.K. University
212,Rai University
213,Sabarmati University
214,SKIPS University
215,Sankalchand Patel University
216,Sardar Krushinagar Dantiwada Agricultural University
217,Sardar Patel University
218,Sarvajanik University
219,Saurashtra University
220,Shree Somnath Sanskrit University
221,Shreyarth University
222,Shri Govind Guru University
223,Silver Oak University
224,Sumandeep Vidyapeeth
225,Surendranagar University
226,Swaminarayan University
227,Swarnim Gujarat Sports University
228,Swarnim Startup & Innovation University
229,Team Lease Skills University
230,The Charutar Vidya Mandal (CVM) University
231,Transstadia University
232,UKA Tarsadia University
233,UPL University of Sustainable Technology
234,Vanita Vishram Women’s University
235,Veer Narmad South Gujarat University
236,Vidhyadeep University
237,Al-Falah University
238,Apeejay Stya University
239,Ashoka University
240,Bhagat Phool Singh Mahila Vishwavidyalaya
241,Baba Mast Nath University
242,BML Munjal University
243,Central University of Haryana
244,Chaudhary Bansi Lal University
245,Chaudhary Devi Lal University
246,Chaudhary Ranbir Singh University
247,Choudhary Charan Singh Haryana Agricultural University
248,Deen Bandhu Chhotu Ram University of Science & Technology
249,Dr. B.R. Ambedkar National Law University (Formarly National Law University Haryana)
250,G.D. Goenka University
251,Geeta University
252,Guru Jambeshwar University of Science and Technology
253,Gurugram University
254,Shri Vishwakarma Skill University
255,IILM University
256,Indira Gandhi University
257,Jagan Nath University
258,J.C Bose University of Science & Technology (Formerly YMCA University of Science & Technology)
259,K.R. Mangalam University
260,Kurukshetra University
261,Lingaya’s Vidyapeeth
262,Lala Lajpat Rai University of Veterinary & Animal Sciences
263,Maharana Pratap Horticultural University
264,Maharishi Balmiki Sanskrit University
265,Maharishi Dayanand University
266,Maharishi Markandeshwar
267,Maharishi Markandeshwar University
268,Manav Rachna International Institute of Research & Studies
269,Manav Rachna University
270,M.V.N. University
271,National Brain Research Centre
272,National Dairy Research Institute
273,National Institute of Food Technology
274,NIILM University
275,Om Sterling Global University
276,O.P. Jindal Global University
277,PDM University
278,Pt. Bhagwat Dayal Sharma University of Health Sciences
279,Pandit Lakhmi Chand State University of Performing and Visual Arts (Formerly State University of Performing and Visual Arts)
280,Rishihood University NH-44(GT Road)
281,Shree Guru Gobind Singh Tricentenary University
282,Shri Krishna AYUSH University
283,Starex University
284,Sushant University (Formerly Ansal University)
285,The Northcap University (Formerly ITM University)
286,World University of Design
287,Abhilashi University
288,ArniUniversity
289,A.P.G. (Alakh Prakash Goyal) Shimla University
290,Atal Medical and Research University
291,Baddi University of Emerging Sciences & Technology
292,Bahra University
293,Career Point University
294,Central University of Himachal Pradesh
295,Chitkara University
296,Dr. Y.S. Parmar University of Horticulture & Forestry
297,Eternal University
298,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya
299,Himachal Pradesh National Law University
300,Himachal Pradesh University
301,Himachal Pradesh Technical University
302,I.E.C. (India Education Centre) University
303,Indus International University
304,Jaypee University of Information Technology
305,Maharaja Agrasen University
306,Manav Bharti University
307,Sardar Patel University Mandi
308,Shoolini University of Biotechnology and Management Sciences
309,Sri Sai University
310,Baba Ghulam Shah Badshah University
311,Central University of Kashmir
312,Central University of Jammu
313,Cluster University of Jammu
314,Cluster University of Srinagar
315,Islamic University of Science & Technology University
316,Sher-e-Kashmir University of Agricultural Science & Technology
317,Shri Mata Vaishno Devi University
318,University of Jammu
319,University of Kashmir
320,AISECT University
321,ARKA Jain University
322,Binod Bihar Mahto Koylanchal University
323,Birla Institute of Technology
324,Birsa Agricultural University
325,Capital University
326,Central University of Jharkhand
327,Dr. Shyama Prasad Mukherjee University
328,Jharkhand Rai University
